ride_id,destination,date,time,driver_rating,seats_available,car_type,driver_name
63,Lake Lindabury,2024-02-04,23:46:06,4.14,4,Van,John Reilly
64,Port Maria,2024-06-27,09:44:37,3.77,1,Sedan,Darren Martinez
65,North Amber,2024-07-24,22:46:33,4.1,3,Hatchback,Amanda Valdez
66,Lake Vincentview,2024-08-22,12:27:21,3.18,4,Hatchback,Robert Fernandez
67,Markberg,2024-05-14,12:20:06,4.79,2,Sedan,Adam Mckee
68,Warrenchester,2024-06-27,19:57:47,3.4,4,SUV,Melanie Robinson
69,Debraberg,2024-06-08,14:27:46,4.7,4,Hatchback,Susan Hopkins
70,South Michael,2024-07-03,16:13:45,4.22,3,Van,Mark Patton
71,Colinmouth,2024-07-11,19:18:53,3.99,4,Van,Elizabeth Fox
72,Gallaghershire,2024-07-31,20:55:06,3.77,4,Hatchback,Joshua Lucas
73,Mckeefort,2024-02-14,15:11:58,4.57,4,Sedan,Andrew Gutierrez
74,East Matthewside,2024-05-15,09:35:59,4.33,4,Sedan,Emma Gibson
75,Robertshire,2024-04-02,19:41:32,3.62,1,SUV,Brittney Garza
76,North Brandon,2024-08-23,11:07:48,4.01,3,Sedan,Terry Shaw
77,Christinaside,2024-04-07,02:04:36,4.47,3,Van,Cameron Nolan
78,Lake Jeffreyland,2024-04-07,09:29:36,4.73,3,Hatchback,Christina Parrish
79,Jamesfort,2024-05-07,01:16:37,4.35,2,Van,Tanner Bowman
80,Lake Annamouth,2024-04-21,14:51:01,3.24,2,Van,Chad Crawford
81,Aguilarberg,2024-03-15,18:48:47,3.51,4,Hatchback,Elizabeth Burns
82,Port Brittanystad,2024-08-10,05:11:32,4.45,1,Hatchback,Julian Cervantes
83,South Danielberg,2024-05-20,08:06:02,4.19,2,Van,Michelle Grant
84,Aliciabury,2024-01-28,05:20:27,3.49,3,Hatchback,Rebecca Goodman
85,Lake Jameshaven,2024-07-29,02:04:21,3.15,4,Hatchback,Anna Chang
86,North Crystalfurt,2024-03-26,03:39:50,3.93,2,Sedan,Vincent Dixon
87,East Monicaport,2024-01-12,22:54:36,4.95,2,Van,Jessica Tyler
88,East Justin,2024-03-12,16:31:12,3.78,2,SUV,Gregory Kim
89,East Williamborough,2024-08-03,16:41:31,3.58,1,SUV,Alyssa Hammond DDS
90,Farleyfurt,2024-05-19,08:50:33,3.56,3,Hatchback,Michael Macdonald
91,New Danielside,2024-05-20,05:52:04,3.56,4,Sedan,Beverly Williams
92,Christopherfurt,2024-01-08,03:57:33,3.0,4,Hatchback,Derek Webster
93,Lake Thomas,2024-06-21,12:37:08,3.35,3,SUV,Janice Medina
94,West Taylor,2024-07-27,09:41:19,4.23,1,SUV,Kevin Garcia
95,Armstrongstad,2024-07-07,19:16:35,4.49,2,Hatchback,Wesley Dawson
96,Port Jeffrey,2024-01-11,10:09:47,4.54,3,SUV,Philip Bailey
97,Fernandezstad,2024-05-14,06:50:23,4.97,2,Sedan,Ms. Kathleen Lloyd
98,North Jesseville,2024-08-14,16:22:56,4.31,1,Sedan,Rachel Howard
99,Port Sandrabury,2024-07-23,08:18:45,4.54,3,Sedan,Timothy Knapp
100,Lake Tiffany,2024-03-12,20:49:01,4.19,4,Van,Mary Fischer
